,article_id,article_title,article_link,article_citation_id,article_authors,article_year,author_id
0,31a51404-5fb2-45d5-9f6b-422cd8eb3dba,A genetic algorithm solution to the collaborative filtering problem,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xhHbbOsAAAAJ&citation_for_view=xhHbbOsAAAAJ:2osOgNQ5qMEC,xhHbbOsAAAAJ:2osOgNQ5qMEC,"Y Ar, E Bostanci",2016,xhHbbOsAAAAJ&hl
1,7895dd71-ef7b-4259-b7c2-7c26e71b2157,Application-specific topology generation algorithms for network-on-chip design,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xhHbbOsAAAAJ&citation_for_view=xhHbbOsAAAAJ:u-x6o8ySG0sC,xhHbbOsAAAAJ:u-x6o8ySG0sC,"S Tosun, Y Ar, S Ozdemir",2012,xhHbbOsAAAAJ&hl
2,caae4d1e-084a-4aea-bee4-c13f3e8a7bc2,TopGen: A new algorithm for automatic topology generation for Network on Chip architectures to reduce power consumption,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xhHbbOsAAAAJ&citation_for_view=xhHbbOsAAAAJ:u5HHmVD_uO8C,xhHbbOsAAAAJ:u5HHmVD_uO8C,"Y Ar, S Tosun, H Kaplan",2009,xhHbbOsAAAAJ&hl
3,24465a13-d06c-4e9d-88e6-d8e8f21c0b37,An initialization method for the latent vectors in probabilistic matrix factorization for sparse datasets,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xhHbbOsAAAAJ&citation_for_view=xhHbbOsAAAAJ:LkGwnXOMwfcC,xhHbbOsAAAAJ:LkGwnXOMwfcC,Y Ar,2020,xhHbbOsAAAAJ&hl
4,2e6b3748-200a-446b-8177-2f6f2e5dc5b9,Evolutionary approaches for weight optimization in collaborative filtering-based recommender systems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xhHbbOsAAAAJ&citation_for_view=xhHbbOsAAAAJ:eQOLeE2rZwMC,xhHbbOsAAAAJ:eQOLeE2rZwMC,"SY Sert, Y Ar, GE Bostanci",2019,xhHbbOsAAAAJ&hl
5,362cb415-7d44-41e7-beac-8d7d26ce8f1e,Pros and cons of telemedicine for inherited metabolic disorders in a developing country during the COVID-19 pandemic,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xhHbbOsAAAAJ&citation_for_view=xhHbbOsAAAAJ:UebtZRa9Y70C,xhHbbOsAAAAJ:UebtZRa9Y70C,"M Koç Yekedüz, N Doğulu, I Sürücü Kara, Ü Öncül, B Bakirarar, P Kullu, ...",2022,xhHbbOsAAAAJ&hl
6,de1e129d-8064-4059-a12a-0375425e770a,Evolutionary fuzzy adaptive motion models for user tracking in augmented reality applications,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xhHbbOsAAAAJ&citation_for_view=xhHbbOsAAAAJ:Y0pCki6q_DkC,xhHbbOsAAAAJ:Y0pCki6q_DkC,"Y Ar, M Ünal, SY Sert, E Bostanci, N Kanwal, MS Güzel",2018,xhHbbOsAAAAJ&hl
7,c8b3a983-c662-4575-8de0-f0374af93b20,Power-aware topology generation for application specific NoC design,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xhHbbOsAAAAJ&citation_for_view=xhHbbOsAAAAJ:d1gkVwhDpl0C,xhHbbOsAAAAJ:d1gkVwhDpl0C,"S Tosun, Y Ar, S Ozdemir",2012,xhHbbOsAAAAJ&hl
8,47f7d347-cbf0-4cc3-a5c8-fc132a7d591d,Mapping application-specific topology to mesh topology with reconfigurable switches,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xhHbbOsAAAAJ&citation_for_view=xhHbbOsAAAAJ:roLk4NBRz8UC,xhHbbOsAAAAJ:roLk4NBRz8UC,"P Kullu, Y Ar, S Tosun, S Ozdemir",2020,xhHbbOsAAAAJ&hl
9,8f105cf8-a2ea-4fbc-a63b-88053158f588,Prediction of software quality with Machine Learning-Based ensemble methods,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xhHbbOsAAAAJ&citation_for_view=xhHbbOsAAAAJ:MXK_kJrjxJIC,xhHbbOsAAAAJ:MXK_kJrjxJIC,"AA Ceran, Y Ar, ÖÖ Tanrıöver, SS Ceran",2022,xhHbbOsAAAAJ&hl
10,72a148e6-885c-46c9-865b-e0d93e241593,Emotion Recognition System from Speech using Convolutional Neural Networks,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xhHbbOsAAAAJ&citation_for_view=xhHbbOsAAAAJ:0EnyYjriUFMC,xhHbbOsAAAAJ:0EnyYjriUFMC,"M Aydin, B Tugrul, Y Ar",2022,xhHbbOsAAAAJ&hl
11,5afab66b-e542-415b-899e-80fea06604f5,A New Dataset for Intrusion Detection in Wireless Local Area Network,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xhHbbOsAAAAJ&citation_for_view=xhHbbOsAAAAJ:5nxA0vEk-isC,xhHbbOsAAAAJ:5nxA0vEk-isC,"M Ozkan-Okay, Y Ar, R Samet",2022,xhHbbOsAAAAJ&hl
12,c525a5d0-ba85-4851-9570-6d104414e8ed,A method for analyzing suspect-filler similarity using convolutional neural networks,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xhHbbOsAAAAJ&citation_for_view=xhHbbOsAAAAJ:8k81kl-MbHgC,xhHbbOsAAAAJ:8k81kl-MbHgC,"DE AYDIN, Y AR",2022,xhHbbOsAAAAJ&hl
13,5bff6fae-d92b-4cd0-8a33-047c839c24a3,A new curve fitting based rating prediction algorithm for recommender systems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xhHbbOsAAAAJ&citation_for_view=xhHbbOsAAAAJ:hqOjcs7Dif8C,xhHbbOsAAAAJ:hqOjcs7Dif8C,"Y Ar, ŞE Amrahov, NA Gasilov, S Yigit-Sert",2022,xhHbbOsAAAAJ&hl
14,0762b83b-0b65-471f-88ca-b39daed8ac26,Automobile Price Prediction in Turkey Marketplace with Linear Regression,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xhHbbOsAAAAJ&citation_for_view=xhHbbOsAAAAJ:Se3iqnhoufwC,xhHbbOsAAAAJ:Se3iqnhoufwC,"MC Satioglu, Y Ar, B Tugrul",2021,xhHbbOsAAAAJ&hl
15,76a36c46-fa2f-4aa5-8e70-475d131e45ff,An Ensemble Model for Collaborative Filtering to Involve all Aspects of Dataset,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xhHbbOsAAAAJ&citation_for_view=xhHbbOsAAAAJ:Tyk-4Ss8FVUC,xhHbbOsAAAAJ:Tyk-4Ss8FVUC,Y Ar,2018,xhHbbOsAAAAJ&hl
16,5c8f986c-db90-420b-a67c-724dd5ae3236,A Thread Building Blocks based Parallel Genetic Algorithm,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xhHbbOsAAAAJ&citation_for_view=xhHbbOsAAAAJ:zYLM7Y9cAGgC,xhHbbOsAAAAJ:zYLM7Y9cAGgC,"E Bostanci, Y Ar, S Yigit-Sert",2017,xhHbbOsAAAAJ&hl
17,d9afc7de-e354-42af-b8cc-6d335d298ee6,Transitive Associations for Domain Transfer Problem on Opinion Mining,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xhHbbOsAAAAJ&citation_for_view=xhHbbOsAAAAJ:IjCSPb-OGe4C,xhHbbOsAAAAJ:IjCSPb-OGe4C,Y Ar,2016,xhHbbOsAAAAJ&hl
18,5e050fa7-3ae3-4e99-a2aa-1104d136cd7f,Improved Probabilistic Matrix Factorization Model for Sparse Datasets,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xhHbbOsAAAAJ&citation_for_view=xhHbbOsAAAAJ:W7OEmFMy1HYC,xhHbbOsAAAAJ:W7OEmFMy1HYC,Y Ar,2014,xhHbbOsAAAAJ&hl
